"match_id","team_id","home_away","goals","xG"
309,84,"a",2,1.0805457085371
310,80,"a",1,1.51193909719586
310,83,"h",0,1.11853163689375
311,74,"a",0,0.936396213248372
311,83,"h",0,3.40221455693245
312,75,"h",2,1.35367930680513
312,87,"a",0,0.580791004933417
313,79,"h",0,0.929318880662322
313,82,"a",3,2.79756385833025
314,77,"h",0,0.894742690026759
314,88,"a",1,0.650784498080611
315,71,"a",0,0.107887798920274
315,81,"h",2,2.37998771108687
316,73,"a",2,1.20993456244469
316,78,"h",1,1.62395500577986
317,85,"a",0,0.350909498520195
317,89,"h",3,2.45272370427847
318,76,"h",1,2.8794312197715
318,84,"a",1,1.18191147223115
319,72,"h",3,2.4938027113676
319,86,"a",0,0.626239204779268
320,80,"a",0,1.13792289886624
320,90,"h",0,0.531414993107319
321,75,"a",3,2.5307614095509
321,88,"h",1,1.73542900849134
322,76,"a",0,0.472555297426879
322,86,"h",1,2.41113833151758
323,72,"a",3,3.08082931861282
323,85,"h",0,0.693547999486327
324,82,"h",1,2.00474900379777
324,90,"a",0,0.149839314632117
325,78,"a",1,1.0146508179605
325,84,"h",1,1.32433060184121
326,71,"h",1,0.919472727924585
326,79,"a",0,1.15061856992543
327,77,"a",2,0.49184238910675
327,87,"h",2,1.57711720839143
328,74,"h",1,1.06642390228808
328,81,"a",0,0.975117074325681
329,73,"h",0,0.588673796504736
329,83,"a",2,1.13957360014319
330,80,"h",1,1.79923565592616
330,89,"a",1,0.780473699793218
331,77,"h",1,1.51138398610056
331,89,"a",1,0.925455605611204
332,74,"a",1,1.1945236036554
332,84,"h",0,0.699012102559209
333,79,"h",2,1.05853649973869
333,81,"a",2,0.760992513969541
334,72,"h",0,1.82911500614136
334,76,"a",1,1.19739774614573
335,78,"h",1,0.984488723799586
335,90,"a",2,1.99728171899915
336,73,"h",1,1.19903418980539
336,85,"a",3,0.92734750919044
337,80,"h",5,2.08580432645977
337,86,"a",1,0.440837681293488
338,75,"a",1,1.3124633282423
338,83,"h",2,2.38088726997375
339,71,"h",0,0.174868296831846
339,87,"a",6,2.07885438762605
340,82,"a",2,1.23516546562314
340,88,"h",1,1.98759083449841
341,77,"a",0,1.07886718772352
341,81,"h",1,0.52387049049139
342,73,"a",0,0.955251511186362
342,90,"h",0,1.00481298286468
343,75,"h",1,1.764498276636
343,79,"a",0,0.814783890731632
344,74,"h",1,1.01074321009219
344,80,"a",2,0.631035692989827
345,71,"a",1,0.414342817850411
345,85,"h",2,2.0404701558873
346,76,"h",3,2.28170740604401
346,78,"a",2,1.21998069807887
347,82,"h",2,3.63801482692361
347,84,"a",1,1.24937620572746
348,83,"a",2,1.58047131076455
348,89,"h",3,1.09522362425923
349,71,"h",1,0.601770401000977
349,72,"a",3,2.63667849078774
350,73,"h",2,1.4122844254598
350,74,"a",0,0.954161789268256
351,75,"h",1,3.05526465922594
351,76,"a",2,1.36349114216864
352,77,"h",2,0.936613818630576
352,78,"a",2,0.887447781860829
353,79,"h",1,1.24250781815499
353,80,"a",2,0.980988088995218
354,81,"h",1,0.784318290650845
354,82,"a",0,1.23597075045109
355,83,"h",1,1.49520837608725
355,84,"a",2,1.69788216799497
356,85,"h",1,0.29831800237298
356,86,"a",0,0.270781699568033
357,87,"h",3,1.16780972480774
357,88,"a",0,0.180317494086921
358,89,"h",1,0.786278003826738
358,90,"a",0,2.16483656782657
359,82,"h",2,1.88377919793129
359,83,"a",2,0.543157009407878
360,74,"h",1,1.55211501196027
360,77,"a",1,1.31561620533466
361,79,"a",0,0.580125700682402
361,84,"h",1,0.551285909488797
362,80,"h",1,1.07045629248023
362,85,"a",1,1.60320029594004
363,72,"h",2,2.09025137126446
363,81,"a",3,2.72090463992208
364,71,"a",0,0.121135897934437
364,88,"h",4,2.83270558714867
365,73,"a",2,1.26853459328413
365,86,"h",1,0.833931295201182
366,75,"a",1,1.47042138688266
366,90,"h",0,0.836350100114942
367,78,"h",1,1.44794422853738
367,87,"a",2,2.2708682930097
368,76,"h",1,0.565787104889751
368,89,"a",0,0.417621899396181
369,79,"h",0,0.139743001200259
369,88,"a",0,0.557372600771486
370,74,"a",2,0.874966006726027
370,85,"h",1,1.06675909459591
371,73,"h",3,0.707559594884514
371,84,"a",2,1.10084008146077
372,71,"h",0,1.96130197495222
372,82,"a",2,2.00304034911096
